"","sex","age","degree","income","income_vs_average","satisfication","happy","health"
"110","Female",43,"Hight school","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"111","Female",44,"Hight school","More than $25000","Average","Not satisfied at all","Pretty happy","Excellent"
"112","Female",67,"Less than high school","$10000-$14999","Below average","Not satisfied at all","Not too happy","Poor"
"113","Male",45,"Hight school","More than $25000","Average","More of less satisfied","Not too happy","Fair"
"114","Female",32,"Bachelors","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"115","Male",69,"Hight school","More than $25000","Above average","Pretty well satisfied","Pretty happy","Good"
"116","Male",28,"Hight school","under $1000","Below average","Not satisfied at all","Not too happy","Fair"
"117","Female",41,"Hight school","$15000-$19999","Average","More of less satisfied","Pretty happy","Good"
"118","Female",45,"Hight school","$6000-$6999","Far below average","Not satisfied at all","Not too happy","Fair"
"119","Female",64,"Hight school","$20000-$24999","Below average","More of less satisfied","Not too happy","Fair"
"120","Male",41,"Hight school","More than $25000","Average","More of less satisfied","Pretty happy","Excellent"
"121","Male",52,"Hight school","More than $25000","Average","More of less satisfied","Not too happy","Fair"
"122","Female",58,"Hight school","More than $25000","Above average","More of less satisfied","Pretty happy","Good"
"123","Female",85,"Hight school","More than $25000","Far below average","More of less satisfied","Very happy","Fair"
"124","Female",53,"Hight school","More than $25000","Below average","Not satisfied at all","Not too happy","Good"
"125","Female",59,"Hight school","More than $25000","Average","Not satisfied at all","Not too happy","Good"
"126","Male",39,"Hight school","More than $25000","Below average","Not satisfied at all","Not too happy","Fair"
"127","Female",50,"Hight school","More than $25000","Below average","Not satisfied at all","Pretty happy","Good"
"128","Female",37,"Bachelors","More than $25000","Above average","More of less satisfied","Pretty happy","Excellent"
"129","Male",35,"Less than high school","$15000-$19999","Far below average","Not satisfied at all","Very happy","Fair"
"130","Female",42,"associate/junior college","More than $25000","Average","Not satisfied at all","Not too happy","Good"
"131","Female",57,"Hight school","$9000-$9999","Far below average","Not satisfied at all","Not too happy","Poor"
"132","Female",28,"Hight school","$9000-$9999","Far below average","Not satisfied at all","Not too happy","Good"
"133","Female",37,"Hight school","$4000-$4999","Average","Not satisfied at all","Very happy","Good"
"134","Female",72,"Graduate","More than $25000","Above average","More of less satisfied","Pretty happy","Good"
"135","Female",34,"Hight school","$3000-$3999","Average","Not satisfied at all","Not too happy","Good"
"136","Male",33,"Hight school","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"137","Female",44,"Hight school","More than $25000","Average","More of less satisfied","Pretty happy","Fair"
"138","Female",46,"Graduate","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"139","Male",37,"Bachelors","More than $25000","Above average","More of less satisfied","Not too happy","Good"
"140","Female",49,"Hight school","under $1000","Average","Pretty well satisfied","Very happy","Fair"
"141","Male",67,"Hight school","More than $25000","Below average","Pretty well satisfied","Pretty happy","Good"
"142","Female",42,"Hight school","$1000-$2999","Far below average","Not satisfied at all","Pretty happy","Fair"
"143","Female",36,"Bachelors","More than $25000","Average","More of less satisfied","Not too happy","Good"
"144","Female",29,"Bachelors","More than $25000","Average","More of less satisfied","Pretty happy","Excellent"
"145","Female",60,"associate/junior college","More than $25000","Above average","Pretty well satisfied","Very happy","Excellent"
"146","Male",35,"Graduate","More than $25000","Above average","More of less satisfied","Pretty happy","Good"
"147","Female",43,"associate/junior college","More than $25000","Average","Not satisfied at all","Pretty happy","Good"
"148","Female",64,"Hight school","More than $25000","Above average","Pretty well satisfied","Pretty happy","Excellent"
"149","Male",39,"Hight school","$10000-$14999","Below average","Not satisfied at all","Not too happy","Good"
"150","Male",68,"Hight school","$20000-$24999","Below average","Not satisfied at all","Not too happy","Poor"
"151","Female",32,"Bachelors","More than $25000","Average","Pretty well satisfied","Pretty happy","Good"
"152","Female",45,"Hight school","$7000-$7999","Far below average","Not satisfied at all","Not too happy","Good"
"153","Female",42,"Graduate","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"154","Female",74,"Bachelors","More than $25000","Average","Pretty well satisfied","Pretty happy","Good"
"155","Male",32,"Bachelors","More than $25000","Below average","Not satisfied at all","Pretty happy","Excellent"
"156","Male",38,"Bachelors","More than $25000","Average","More of less satisfied","Not too happy","Good"
"157","Female",60,"associate/junior college","More than $25000","Below average","More of less satisfied","Pretty happy","Good"
"158","Female",52,"Hight school","$9000-$9999","Below average","More of less satisfied","Not too happy","Good"
"159","Male",67,"Hight school","More than $25000","Above average","Pretty well satisfied","Pretty happy","Fair"
"160","Female",38,"Graduate","More than $25000","Average","Not satisfied at all","Pretty happy","Good"
"161","Male",33,"Graduate","More than $25000","Above average","Pretty well satisfied","Pretty happy","Good"
"162","Male",72,"Hight school","More than $25000","Below average","Not satisfied at all","Not too happy","Fair"
"163","Male",36,"Hight school","More than $25000","Far below average","More of less satisfied","Not too happy","Fair"
"164","Female",30,"Graduate","More than $25000","Above average","More of less satisfied","Pretty happy","Excellent"
"165","Male",46,"Hight school","More than $25000","Average","Not satisfied at all","Pretty happy","Fair"
"166","Female",33,"Bachelors","More than $25000","Above average","Pretty well satisfied","Pretty happy","Good"
"167","Female",34,"Hight school","More than $25000","Above average","More of less satisfied","Pretty happy","Good"
"168","Male",39,"Hight school","$20000-$24999","Average","Not satisfied at all","Pretty happy","Fair"
"169","Female",78,"Bachelors","More than $25000","Above average","Pretty well satisfied","Pretty happy","Good"
"170","Female",53,"associate/junior college","More than $25000","Average","Not satisfied at all","Pretty happy","Fair"
"171","Female",61,"Hight school","More than $25000","Above average","Pretty well satisfied","Pretty happy","Good"
"172","Male",37,"Hight school","More than $25000","Below average","Not satisfied at all","Not too happy","Good"
"173","Female",48,"Hight school","$3000-$3999","Below average","Pretty well satisfied","Not too happy","Fair"
"174","Male",25,"Bachelors","$3000-$3999","Average","More of less satisfied","Not too happy","Good"
"175","Male",33,"Graduate","More than $25000","Far above average","Pretty well satisfied","Not too happy","Fair"
"176","Male",69,"Graduate","More than $25000","Far above average","Pretty well satisfied","Very happy","Good"
"177","Female",57,"Hight school","More than $25000","Below average","Pretty well satisfied","Not too happy","Good"
"178","Male",69,"Hight school","More than $25000","Average","Pretty well satisfied","Pretty happy","Good"
"179","Male",60,"associate/junior college","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"180","Male",61,"Bachelors","More than $25000","Above average","Pretty well satisfied","Very happy","Good"
"181","Male",61,"Hight school","More than $25000","Far above average","Not satisfied at all","Very happy","Good"
"182","Female",37,"Bachelors","More than $25000","Average","Pretty well satisfied","Pretty happy","Excellent"
"183","Male",65,"Hight school","$10000-$14999","Below average","More of less satisfied","Very happy","Fair"
"184","Male",63,"Hight school","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"185","Female",34,"Hight school","More than $25000","Below average","More of less satisfied","Pretty happy","Good"
"186","Female",29,"Bachelors","More than $25000","Average","More of less satisfied","Very happy","Excellent"
"187","Female",67,"Bachelors","More than $25000","Above average","Pretty well satisfied","Pretty happy","Good"
"188","Female",29,"Bachelors","More than $25000","Average","Not satisfied at all","Very happy","Good"
"189","Female",44,"Bachelors","More than $25000","Below average","More of less satisfied","Pretty happy","Good"
"190","Male",35,"Bachelors","More than $25000","Above average","Pretty well satisfied","Pretty happy","Good"
"191","Male",57,"Bachelors","More than $25000","Below average","More of less satisfied","Not too happy","Excellent"
"192","Female",60,"Graduate","More than $25000","Above average","More of less satisfied","Pretty happy","Excellent"
"193","Male",66,"Hight school","More than $25000","Below average","Not satisfied at all","Pretty happy","Excellent"
"194","Male",32,"Hight school","More than $25000","Above average","More of less satisfied","Very happy","Excellent"
"195","Male",72,"Bachelors","More than $25000","Average","More of less satisfied","Very happy","Good"
"196","Male",24,"Bachelors","More than $25000","Below average","Not satisfied at all","Not too happy","Excellent"
"197","Female",57,"Hight school","under $1000","Below average","Not satisfied at all","Pretty happy","Fair"
"198","Male",76,"Hight school","$20000-$24999","Average","Not satisfied at all","Pretty happy","Fair"
"199","Female",52,"Hight school","More than $25000","Average","More of less satisfied","Pretty happy","Excellent"
"200","Female",64,"Graduate","under $1000","Far below average","Not satisfied at all","Pretty happy","Fair"
"201","Female",36,"Hight school","under $1000","Far below average","Not satisfied at all","Not too happy","Good"
"202","Male",42,"associate/junior college","More than $25000","Above average","More of less satisfied","Pretty happy","Fair"
"203","Female",39,"Hight school","More than $25000","Above average","More of less satisfied","Pretty happy","Good"
"204","Male",66,"Bachelors","More than $25000","Above average","Pretty well satisfied","Pretty happy","Good"
"205","Female",44,"Graduate","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"206","Female",63,"Hight school","More than $25000","Average","Not satisfied at all","Very happy","Good"
"207","Female",59,"Hight school","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"208","Male",66,"Hight school","$15000-$19999","Average","More of less satisfied","Pretty happy","Good"
"209","Female",74,"Graduate","More than $25000","Above average","More of less satisfied","Not too happy","Good"
"210","Male",80,"Graduate","More than $25000","Above average","Pretty well satisfied","Pretty happy","Excellent"
"211","Male",42,"Graduate","More than $25000","Above average","Pretty well satisfied","Pretty happy","Excellent"
"212","Female",60,"Hight school","$10000-$14999","Far below average","More of less satisfied","Pretty happy","Poor"
"213","Male",37,"Hight school","$20000-$24999","Far below average","Not satisfied at all","Not too happy","Fair"
"214","Male",27,"Hight school","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"215","Female",67,"Bachelors","More than $25000","Average","More of less satisfied","Not too happy","Good"
"216","Female",73,"Hight school","$15000-$19999","Average","More of less satisfied","Not too happy","Good"
"217","Female",22,"Hight school","$20000-$24999","Below average","Not satisfied at all","Not too happy","Fair"
"218","Female",48,"Hight school","More than $25000","Below average","Not satisfied at all","Pretty happy","Good"
"219","Female",30,"Bachelors","More than $25000","Average","More of less satisfied","Not too happy","Fair"
"220","Female",65,"associate/junior college","More than $25000","Below average","Not satisfied at all","Not too happy","Good"
"221","Female",32,"Hight school","More than $25000","Below average","Not satisfied at all","Not too happy","Excellent"
"222","Male",34,"Hight school","More than $25000","Below average","Not satisfied at all","Pretty happy","Fair"
"223","Male",69,"Bachelors","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"224","Male",45,"Hight school","$9000-$9999","Below average","More of less satisfied","Not too happy","Good"
"225","Male",41,"Bachelors","More than $25000","Above average","Pretty well satisfied","Very happy","Good"
"226","Male",39,"Bachelors","More than $25000","Average","More of less satisfied","Not too happy","Good"
"227","Male",89,"Hight school","More than $25000","Below average","Not satisfied at all","Not too happy","Good"
"228","Female",70,"Bachelors","More than $25000","Average","Pretty well satisfied","Pretty happy","Good"
"229","Male",79,"Graduate","More than $25000","Above average","Pretty well satisfied","Very happy","Good"
"230","Male",53,"associate/junior college","More than $25000","Average","Pretty well satisfied","Pretty happy","Good"
"231","Female",64,"associate/junior college","More than $25000","Below average","Not satisfied at all","Very happy","Good"
"232","Female",49,"Graduate","More than $25000","Above average","Pretty well satisfied","Pretty happy","Good"
"233","Female",55,"associate/junior college","More than $25000","Average","Pretty well satisfied","Very happy","Good"
"234","Female",42,"Graduate","More than $25000","Average","Not satisfied at all","Pretty happy","Good"
"235","Female",56,"Hight school","$20000-$24999","Below average","Not satisfied at all","Not too happy","Fair"
"236","Female",44,"Hight school","More than $25000","Below average","Not satisfied at all","Not too happy","Excellent"
"237","Female",30,"Hight school","More than $25000","Below average","Not satisfied at all","Pretty happy","Excellent"
"238","Male",79,"Hight school","$10000-$14999","Below average","More of less satisfied","Not too happy","Good"
"239","Female",65,"associate/junior college","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"240","Male",43,"Less than high school","More than $25000","Above average","Not satisfied at all","Pretty happy","Fair"
"241","Female",43,"Hight school","More than $25000","Below average","Not satisfied at all","Pretty happy","Good"
"242","Female",31,"Hight school","$5000-$5999","Far below average","More of less satisfied","Pretty happy","Good"
"243","Female",43,"Hight school","$15000-$19999","Far below average","Not satisfied at all","Not too happy","Excellent"
"244","Female",26,"Hight school","under $1000","Average","Not satisfied at all","Pretty happy","Excellent"
"245","Female",31,"Graduate","$20000-$24999","Below average","Pretty well satisfied","Not too happy","Good"
"246","Female",64,"Graduate","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"247","Female",31,"associate/junior college","$20000-$24999","Below average","Not satisfied at all","Pretty happy","Good"
"248","Male",47,"Hight school","$20000-$24999","Far below average","Not satisfied at all","Not too happy","Fair"
"249","Female",27,"Bachelors","More than $25000","Below average","Not satisfied at all","Pretty happy","Good"
"250","Female",30,"associate/junior college","More than $25000","Below average","More of less satisfied","Pretty happy","Excellent"
"251","Male",36,"Bachelors","$1000-$2999","Below average","Not satisfied at all","Pretty happy","Good"
"252","Female",26,"Bachelors","More than $25000","Above average","Pretty well satisfied","Very happy","Good"
"253","Female",45,"Bachelors","More than $25000","Above average","More of less satisfied","Pretty happy","Good"
"254","Female",40,"Graduate","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"255","Female",28,"Graduate","More than $25000","Below average","Pretty well satisfied","Very happy","Excellent"
"256","Male",36,"Bachelors","More than $25000","Above average","Pretty well satisfied","Not too happy","Good"
"257","Male",37,"Graduate","More than $25000","Above average","Pretty well satisfied","Very happy","Excellent"
"258","Female",61,"Less than high school","More than $25000","Far below average","Not satisfied at all","Pretty happy","Fair"
"259","Female",52,"Bachelors","More than $25000","Average","Not satisfied at all","Not too happy","Good"
"260","Female",65,"associate/junior college","More than $25000","Below average","More of less satisfied","Pretty happy","Good"
"261","Male",61,"Graduate","$9000-$9999","Average","Pretty well satisfied","Pretty happy","Excellent"
"262","Female",49,"Hight school","More than $25000","Average","Not satisfied at all","Very happy","Good"
"263","Male",22,"Hight school","$10000-$14999","Average","Not satisfied at all","Not too happy","Good"
"264","Male",50,"Graduate","More than $25000","Average","More of less satisfied","Pretty happy","Fair"
"265","Male",89,"Graduate","$20000-$24999","Below average","More of less satisfied","Pretty happy","Excellent"
"266","Male",56,"Hight school","More than $25000","Below average","Not satisfied at all","Pretty happy","Good"
"267","Male",45,"Hight school","More than $25000","Above average","Not satisfied at all","Pretty happy","Excellent"
"268","Female",37,"Less than high school","More than $25000","Average","More of less satisfied","Pretty happy","Fair"
"269","Male",18,"Less than high school","More than $25000","Average","More of less satisfied","Pretty happy","Excellent"
"270","Male",42,"Hight school","More than $25000","Average","Pretty well satisfied","Pretty happy","Good"
"271","Female",37,"Graduate","More than $25000","Above average","Pretty well satisfied","Not too happy","Good"
"272","Male",44,"Hight school","More than $25000","Average","Pretty well satisfied","Very happy","Good"
"273","Male",63,"Graduate","More than $25000","Below average","Pretty well satisfied","Very happy","Good"
"274","Male",29,"Bachelors","More than $25000","Average","More of less satisfied","Very happy","Excellent"
"275","Female",37,"Bachelors","More than $25000","Average","Pretty well satisfied","Pretty happy","Excellent"
"276","Female",66,"Bachelors","$9000-$9999","Average","More of less satisfied","Pretty happy","Good"
"277","Female",55,"Hight school","More than $25000","Average","Pretty well satisfied","Pretty happy","Good"
"278","Female",44,"Bachelors","More than $25000","Above average","Pretty well satisfied","Very happy","Good"
"279","Male",59,"Graduate","More than $25000","Below average","Not satisfied at all","Very happy","Good"
"280","Female",53,"associate/junior college","More than $25000","Average","Pretty well satisfied","Pretty happy","Good"
"281","Male",30,"Less than high school","$9000-$9999","Far below average","Not satisfied at all","Not too happy","Poor"
"282","Male",48,"Graduate","More than $25000","Above average","Pretty well satisfied","Pretty happy","Excellent"
"283","Male",50,"Graduate","More than $25000","Above average","Pretty well satisfied","Pretty happy","Good"
"284","Male",61,"Graduate","More than $25000","Above average","More of less satisfied","Pretty happy","Good"
"285","Male",53,"Graduate","More than $25000","Above average","Pretty well satisfied","Pretty happy","Good"
"286","Male",61,"Bachelors","$9000-$9999","Below average","Not satisfied at all","Pretty happy","Poor"
"287","Female",30,"Graduate","$4000-$4999","Above average","Pretty well satisfied","Pretty happy","Good"
"288","Female",62,"Hight school","More than $25000","Above average","More of less satisfied","Not too happy","Fair"
"289","Female",44,"Hight school","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"290","Male",60,"Bachelors","More than $25000","Above average","Pretty well satisfied","Pretty happy","Good"
"291","Male",66,"Hight school","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"292","Male",69,"Graduate","More than $25000","Average","More of less satisfied","Pretty happy","Fair"
"293","Male",47,"Graduate","More than $25000","Average","More of less satisfied","Not too happy","Good"
"294","Female",62,"Less than high school","$7000-$7999","Below average","More of less satisfied","Pretty happy","Good"
"295","Female",80,"Hight school","$3000-$3999","Average","More of less satisfied","Pretty happy","Good"
"296","Male",47,"Bachelors","More than $25000","Average","More of less satisfied","Very happy","Excellent"
"297","Male",37,"Graduate","More than $25000","Above average","More of less satisfied","Pretty happy","Fair"
"298","Female",54,"Hight school","More than $25000","Below average","More of less satisfied","Not too happy","Good"
"299","Female",47,"Hight school","$10000-$14999","Far below average","Not satisfied at all","Not too happy","Fair"
"300","Male",59,"Hight school","$1000-$2999","Far below average","Not satisfied at all","Pretty happy","Good"
"301","Male",57,"Hight school","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"302","Female",33,"Hight school","More than $25000","Below average","More of less satisfied","Pretty happy","Good"
"303","Male",41,"Hight school","More than $25000","Far below average","Not satisfied at all","Not too happy","Poor"
"304","Female",58,"Graduate","More than $25000","Above average","Pretty well satisfied","Pretty happy","Excellent"
"305","Male",27,"Bachelors","More than $25000","Below average","Not satisfied at all","Not too happy","Fair"
"306","Female",57,"associate/junior college","More than $25000","Below average","Not satisfied at all","Pretty happy","Fair"
"307","Female",49,"Less than high school","$10000-$14999","Average","More of less satisfied","Pretty happy","Good"
"308","Female",46,"Hight school","More than $25000","Below average","More of less satisfied","Pretty happy","Fair"
"309","Female",81,"Hight school","More than $25000","Above average","Pretty well satisfied","Pretty happy","Good"
"310","Female",35,"Graduate","More than $25000","Average","More of less satisfied","Pretty happy","Good"
"311","Female",28,"Less than high school","More than $25000","Far below average","Not satisfied at all","Pretty happy","Good"
"312","Male",70,"associate/junior college","More than $25000","Below average","More of less satisfied","Not too happy","Good"
"313","Male",57,"associate/junior college","More than $25000","Average","More of less satisfied","Very happy","Excellent"
